Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
22036904487,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm Rất ít đường 180ml,"495,1k",200k+,vinamilk_official,"4,5%",₫19.803,https://shopee.vn/product/975865932/22036904487,https://s.shopee.vn/8AVloINIJ1
42809232875,"Balo gấu nhí GENBAG cute, balo thời trang nữ đi học nhiều ngăn vải dù trượt nước BL03","219,0k",10k+,GENBAG,10%,₫21.900,https://shopee.vn/product/127740485/42809232875,https://s.shopee.vn/904snpK7cC
28165355844,[MUA 2 GIẢM 45%] Combo Nước cân bằng sen Hậu Giang (toner) 310ml & Nước tẩy trang bí đao 500ml Cocoon,"329,0k",100k+,Cocoon Vietnam Chính Hãng,"8,5%",₫26.320,https://shopee.vn/product/175753395/28165355844,https://s.shopee.vn/9AOJ08JUHF
23073213252,"Bộ thun lạnh tay dài quần dài cho Bé trai , Bé gái 5 - 20kg, Đồ Bộ Cho Bé Mặc Nhà , Chuchoe Baby","65,0k",300k+,CHUCHOE BABY,20%,₫13.000,https://shopee.vn/product/137184188/23073213252,https://s.shopee.vn/8fS2PDLOIA
29118467747,Serum Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 5 Ngày 300ML (bao bì tùy đợt nhập hàng),"148,0k",400k+,Unilever Chăm Sóc Sắc Đẹp,"8,5%",₫11.840,https://shopee.vn/product/1397276155/29118467747,https://s.shopee.vn/8plSbWKkxD
12092264923,(CÓ SẴN) xâu 10 bịch bánh tráng sate vò,"26,5k",100k+,LINH CHI STORE’S,"7,5%",₫1.855,https://shopee.vn/product/582572221/12092264923,https://s.shopee.vn/70JoQ9Rjfs
24818273541,"COMBO GIA ĐÌNH - 2 bịch Giấy vệ sinh Posy 10 cuộn 3 lớp không lõi - có lõi mềm mịn, dễ tan trong nước","131,0k",100k+,GIẤY POSY XÀI MÊ LI,8%,₫10.480,https://shopee.vn/product/1202044690/24818273541,https://s.shopee.vn/7AdEcSR6Kv
1812939717,"[DAILY] Nước Tẩy Trang L'oreal Dành Cho Da Dầu, Da Nhạy Cảm, Làm Sạch Trang Điểm 400ml Hasaki","174,0k",800k+,HASAKI VIETNAM,"2,5%",₫3.480,https://shopee.vn/product/18644537/1812939717,https://s.shopee.vn/6fgy1XT0Lq
28993839203,[Bao Bì Mới- Chọn Vị] Hộp giấy Bột ăn dặm Vinamilk Ridielac 200g,"52,3k",100k+,vinamilk_official,"4,5%",₫2.093,https://shopee.vn/product/975865932/28993839203,https://s.shopee.vn/6q0ODqSN0t
45412540865,Lạp Xưởng Hà Khẩu Bao Bao Vietinter Foods,"74,0k",10k+,Vietinter Foods,"14,5%",₫10.360,https://shopee.vn/product/1160555192/45412540865,https://s.shopee.vn/7fZVDNPCK4
